시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,관서명,지방청명,경찰서명,구분명,데이터갱신일자,업태구분명,위도,경도
경기도,가평군,상면,"41820330",생활편의형SOC,CVNTL,파출소,상면 파출소,CVNTL_20_41820_00004,,경기도 가평군 상면 청군로 1101,경기도 가평군 상면 연하리 171-1,,경기북부청,가평,파출소,2022-07-11,,37.8050420000,127.3573150000
경기도,가평군,북면,"41820350",생활편의형SOC,CVNTL,파출소,북면 파출소,CVNTL_20_41820_00005,,경기도 가평군 북면 화악산로 6,경기도 가평군 북면 목동리 848,,경기북부청,가평,파출소,2022-07-11,,37.8858800000,127.5496200000
경기도,가평군,조종면,"41820345",생활편의형SOC,CVNTL,파출소,조종 파출소,CVNTL_20_41820_00006,,경기도 가평군 조종면 현창로 43,경기도 가평군 조종면 현리 267-5,,경기북부청,가평,파출소,2022-07-11,,37.8187400000,127.3479800000
경기도,광명시,소하동,"41210104",생활편의형SOC,CVNTL,파출소,소하 파출소,CVNTL_20_41210_00026,,경기도 광명시 금하로 500,경기도 광명시 소하동 1310,,경기남부청,광명,지구대,2022-07-11,,37.4499240000,126.8883500000
경기도,광명시,철산동,"41210102",생활편의형SOC,CVNTL,파출소,철산 파출소,CVNTL_20_41210_00029,,경기도 광명시 철산로29번길 16,경기도 광명시 철산동 241-3,,경기남부청,광명,지구대,2022-07-11,,37.4780540000,126.8690200000
경기도,광주시,초월읍,"41610253",생활편의형SOC,CVNTL,파출소,초월 파출소,CVNTL_20_41610_00030,,경기도 광주시 초월읍 경충대로 1243,경기도 광주시 초월읍 대쌍령리 211-6,,경기남부청,광주,파출소,2022-07-11,,37.3857270000,127.2883600000
경기도,광주시,추자동,"41610118",생활편의형SOC,CVNTL,파출소,오포동부 파출소,CVNTL_20_41610_00032,,경기도 광주시 오포읍 오포로 869,경기도 광주시 오포읍 추자리 105-7,,경기남부청,광주,파출소,2022-07-11,,37.3678470000,127.2314700000
경기도,광주시,퇴촌면,"41610340",생활편의형SOC,CVNTL,파출소,퇴촌 파출소,CVNTL_20_41610_00033,,경기도 광주시 퇴촌면 광동로 45,경기도 광주시 퇴촌면 광동리 237-2,,경기남부청,광주,파출소,2022-07-11,,37.4707340000,127.3078200000
경기도,광주시,남한산성면,"41610370",생활편의형SOC,CVNTL,파출소,남한산성 파출소,CVNTL_20_41610_00034,,경기도 광주시 남한산성면 남한산성로 757,경기도 광주시 남한산성면 산성리 401-2,,경기남부청,광주,파출소,2022-07-11,,37.4777200000,127.1862200000
경기도,광주시,도척면,"41610330",생활편의형SOC,CVNTL,파출소,도척 파출소,CVNTL_20_41610_00035,,경기도 광주시 도척면 도척로 603,경기도 광주시 도척면 노곡리 283-8,,경기남부청,광주,파출소,2022-07-11,,37.3002130000,127.3314700000
경기도,김포시,통진읍,"41570250",생활편의형SOC,CVNTL,파출소,통진 파출소,CVNTL_20_41570_00049,,경기도 김포시 통진읍 조강로 83,경기도 김포시 통진읍 마송리 111-19,,경기남부청,김포,파출소,2022-07-11,,37.6921460000,126.5974660000
경기도,김포시,월곶면,"41570350",생활편의형SOC,CVNTL,파출소,월곶 파출소,CVNTL_20_41570_00050,,경기도 김포시 월곶면 군하로276번길 13,경기도 김포시 월곶면 군하리 214,,경기남부청,김포,파출소,2022-07-11,,37.7164300000,126.5521000000
