시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,충전소위치 상세,휴점일,이용가능 시작시각,이용가능 종료시각,완속충전 가능여부,급속충전 가능여부,급속충전 타입구분,완속충전기 대수,급속충전기 대수,주차료부과 여부,관리업체명,관리업체 전화번호,데이터 갱신일자,업태구분명,위도,경도
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,삼성SIM(정문)주차장,CVNTL_25_41117_00770,,경기도 수원시 영통구 삼성로 129,경기도 수원시 영통구 매탄동 416,,,,,,,,,,,에스트래픽,,2022-07-11,,37.2569350000,127.0530240000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,수원남부경찰서,CVNTL_25_41117_00771,,경기도 수원시 영통구 매봉로 52,경기도 수원시 영통구 매탄동 1196,,,,,,,,,,,에스트래픽,,2022-07-11,,37.2719760000,127.0541000000
경기도,의정부시,가능동,"41150110",생활편의형SOC,CVNTL,전기충전소,의정부시 맑은물환경사업소,CVNTL_25_41150_01468,,경기도 의정부시 호국로1049번길 39,경기도 의정부시 가능동 590-24,,,,,,,,,,,지엔텔,,2022-07-11,,37.7416730000,127.0196000000
경기도,의정부시,가능동,"41150110",생활편의형SOC,CVNTL,전기충전소,의정부시_흥선동행정복지센터,CVNTL_25_41150_01469,,경기도 의정부시 흥선로 20,경기도 의정부시 가능동 711,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.7462700000,127.0306500000
경기도,의정부시,가능동,"41150110",생활편의형SOC,CVNTL,전기충전소,의정부시_가능1동주민센터,CVNTL_25_41150_01470,,경기도 의정부시 신촌로 35,경기도 의정부시 가능동 617-8,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.7505950000,127.0386100000
경기도,성남시 수정구,복정동,"41131107",생활편의형SOC,CVNTL,전기충전소,성남시 동서울대학교,CVNTL_25_41131_00641,,경기도 성남시 수정구 복정로 76,경기도 성남시 수정구 복정동 산 42,,,,,,,,,,,차지비,,2022-07-11,,37.4592400000,127.1285800000
경기도,성남시 수정구,복정동,"41131107",생활편의형SOC,CVNTL,전기충전소,복정제4 공영주차장(4호),CVNTL_25_41131_00642,,경기도 성남시 수정구 복정로20번길 16,경기도 성남시 수정구 복정동 707,,,,,,,,,,,에스트래픽,,2022-07-11,,37.4546600000,127.1290800000
경기도,성남시 수정구,복정동,"41131107",생활편의형SOC,CVNTL,전기충전소,동서울대학교,CVNTL_25_41131_00643,,경기도 성남시 수정구 복정로 76,경기도 성남시 수정구 복정동 산 42,,,,,,,,,,,이카플러그,,2022-07-11,,37.4592400000,127.1285800000
경기도,성남시 수정구,복정동,"41131107",생활편의형SOC,CVNTL,전기충전소,성남시 복정동행정복지센터,CVNTL_25_41131_00644,,경기도 성남시 수정구 복정로 144,경기도 성남시 수정구 복정동 641-12,,,,,,,,,,,차지비,,2022-07-11,,37.4659900000,127.1271200000
경기도,성남시 수정구,복정동,"41131107",생활편의형SOC,CVNTL,전기충전소,성남시 복정정수장,CVNTL_25_41131_00645,,경기도 성남시 수정구 성남대로1416번길 22,경기도 성남시 수정구 복정동 515,,,,,,,,,,,차지비,,2022-07-11,,37.4566900000,127.1310300000
경기도,이천시,호법면,"41500330",생활편의형SOC,CVNTL,전기충전소,이천시 호법면사무소,CVNTL_25_41500_01528,,경기도 이천시 호법면 이섭대천로527번길 27,경기도 이천시 호법면 후안리 246,,,,,,,,,,,차지비,,2022-07-11,,37.2229100000,127.4246300000
경기도,이천시,호법면,"41500330",생활편의형SOC,CVNTL,전기충전소,매곡리덕평C.C,CVNTL_25_41500_01529,,경기도 이천시 호법면 장자터로 115,경기도 이천시 호법면 매곡리 704-2,,,,,,,,,,,케이티,,2022-07-11,,37.1874730000,127.4000400000
경기도,이천시,장호원읍,"41500250",생활편의형SOC,CVNTL,전기충전소,삼진동산아파트,CVNTL_25_41500_01482,,경기도 이천시 장호원읍 서동대로8830번길 6-18,경기도 이천시 장호원읍 진암리 301-3,,,,,,,,,,,케이티,,2022-07-11,,37.1143500000,127.6152400000
경기도,이천시,장호원읍,"41500250",생활편의형SOC,CVNTL,전기충전소,이천시 장호원읍사무소주차장,CVNTL_25_41500_01483,,경기도 이천시 장호원읍 서동대로 8844-6,경기도 이천시 장호원읍 진암리 17-21,,,,,,,,,,,지엔텔,,2022-07-11,,37.1148340000,127.6169360000
경기도,이천시,장호원읍,"41500250",생활편의형SOC,CVNTL,전기충전소,장호원읍사무소,CVNTL_25_41500_01530,,경기도 이천시 장호원읍 서동대로 8844-6,경기도 이천시 장호원읍 진암리 17-21,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.1148340000,127.6169360000
경기도,이천시,장호원읍,"41500250",생활편의형SOC,CVNTL,전기충전소,이천시 이천시농업기술센터,CVNTL_25_41500_01531,,경기도 이천시 장호원읍 서동대로8759번길 117,경기도 이천시 장호원읍 장호원리 332-4,,,,,,,,,,,차지비,,2022-07-11,,37.1186200000,127.6125640000
경기도,이천시,장호원읍,"41500250",생활편의형SOC,CVNTL,전기충전소,이천시 장호원읍사무소,CVNTL_25_41500_01541,,경기도 이천시 장호원읍 서동대로 8844-6,경기도 이천시 장호원읍 진암리 17-21,,,,,,,,,,,차지비,,2022-07-11,,37.1148340000,127.6169360000
경기도,수원시 권선구,오목천동,"41113129",생활편의형SOC,CVNTL,전기충전소,오목천태산아파트,CVNTL_25_41113_00725,,경기도 수원시 권선구 매송고색로533번길 7,경기도 수원시 권선구 오목천동 363,,,,,,,,,,,케이티,,2022-07-11,,37.2458500000,126.9623500000
경기도,수원시 권선구,오목천동,"41113129",생활편의형SOC,CVNTL,전기충전소,오목천동청구1차아파트,CVNTL_25_41113_00724,,경기도 수원시 권선구 오목천로39번길 8,경기도 수원시 권선구 오목천동 542,,,,,,,,,,,케이티,,2022-07-11,,37.2404250000,126.9676600000
경기도,수원시 권선구,오목천동,"41113129",생활편의형SOC,CVNTL,전기충전소,수원여자대학교 인제캠퍼스,CVNTL_25_41113_00726,,경기도 수원시 권선구 온정로 72,경기도 수원시 권선구 오목천동 산 1-6,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.2525980000,126.9633600000
